f1_score;pct;utility_score;threshold;jaccard;minority_classes
0.5063;0.1;neighborhood_variability_recipient;1;0.7;[]
0.5254;0.1;neighborhood_variability_all;1;0.7;[]
0.4141;0.1;in_degree;1;0.8;[]
0.3798;0.1;out_degree;1;0.8;[]
0.4982;0.1;betweenness;1;0.8;[]
0.3798;0.1;closeness;1;0.8;[]
0.5605;0.1;eigenvector;1;0.8;[]
0.4464;0.1;clustering_coeff;1;0.8;[]
0.3798;0.1;pagerank;1;0.8;[]
0.4141;0.1;hubs;1;0.8;[]
0.3798;0.1;authorities;1;0.8;[]
0.3798;0.1;max_clique;1;0.8;[]
0.4771;0.1;cliques_count;1;0.8;[]
0.3798;0.1;work_at_weekend;1;0.8;[]
0.3798;0.1;neighborhood_variability_sender;1;0.8;[]
0.5063;0.1;neighborhood_variability_recipient;1;0.8;[]
0.5254;0.1;neighborhood_variability_all;1;0.8;[]
0.4141;0.1;in_degree;1;0.9;[]
0.3798;0.1;out_degree;1;0.9;[]
0.3798;0.1;betweenness;1;0.9;[]
0.3798;0.1;closeness;1;0.9;[]
0.5605;0.1;eigenvector;1;0.9;[]
0.4464;0.1;clustering_coeff;1;0.9;[]
0.3798;0.1;pagerank;1;0.9;[]
0.4141;0.1;hubs;1;0.9;[]
0.3798;0.1;authorities;1;0.9;[]
0.3798;0.1;max_clique;1;0.9;[]
0.4141;0.1;cliques_count;1;0.9;[]
0.3798;0.1;work_at_weekend;1;0.9;[]
0.3798;0.1;neighborhood_variability_sender;1;0.9;[]
0.5063;0.1;neighborhood_variability_recipient;1;0.9;[]
0.5254;0.1;neighborhood_variability_all;1;0.9;[]
0.4141;0.1;in_degree;1;0.99;[]
0.3798;0.1;out_degree;1;0.99;[]
0.3798;0.1;betweenness;1;0.99;[]
0.3798;0.1;closeness;1;0.99;[]
0.5605;0.1;eigenvector;1;0.99;[]
0.4464;0.1;clustering_coeff;1;0.99;[]
0.3798;0.1;pagerank;1;0.99;[]
0.3798;0.1;hubs;1;0.99;[]
0.3798;0.1;authorities;1;0.99;[]
0.3798;0.1;max_clique;1;0.99;[]
0.4141;0.1;cliques_count;1;0.99;[]
0.3798;0.1;work_at_weekend;1;0.99;[]
0.3798;0.1;neighborhood_variability_sender;1;0.99;[]
0.5063;0.1;neighborhood_variability_recipient;1;0.99;[]
0.5341;0.1;neighborhood_variability_all;1;0.99;[]
